,pause_status,position,pause_G,pause_C,context_G,context_C,gene,start_dist_rel,end_dist_rel,gene_len,ref_base_A,ref_base_C,ref_base_G,ref_base_T,trans_base_A,trans_base_C,trans_base_G,trans_base_T
0,1,-0.5239930312035013,0.35940450981357003,0.3539539054940707,0.35940450975127225,0.3539539054572752,1,0.3927193570964118,-0.3927193570964117,-1.546140303079896,0,1,0,0,0,0,1,0
1,1,-0.5231927824670605,1.484437719440174,0.3539539054940707,1.4844377169752216,0.3539539054572752,1,-0.3232868589035883,0.3232868589035883,-0.08155381952306016,0,1,0,0,0,1,0,0
2,1,-0.5221171654255115,1.484437719440174,-0.20707867374219005,1.4844377169752216,-0.2070786773953555,1,0.2503522900964117,-0.2503522900964117,-0.4809864968567426,0,1,0,0,1,0,0,0
3,1,-0.5220861380108514,0.35940450981357003,0.3539539054940707,0.35940450975127225,0.3539539054572752,1,0.4012956860964117,-0.4012956860964117,-0.4809864968567426,0,0,1,0,1,0,0,0
4,1,-0.5220486465514705,-0.7656286998130329,-0.20707867374219005,-0.7656286974726768,-0.2070786773953555,1,0.0,0.0,0.0,0,0,0,1,0,0,0,1
5,1,-0.5218907083921245,-0.2031120902183404,-0.20707867374219005,-0.2031120938607021,-0.2070786773953555,1,-0.3636538989035883,0.3636538989035884,-0.9451920407850763,0,1,0,0,0,1,0,0
6,1,-0.5218545097416877,-1.3281452998449441,-0.7681112625160047,-1.3281453010846511,-0.7681112602479866,1,-0.06735760290358833,0.06735760290358828,-0.9451920407850763,0,1,0,0,0,1,0,0
7,1,-0.5206468107196761,0.9219211098454809,-1.3291438417522656,0.9219211133632471,-1.3291438431006175,1,-0.20113018990358836,0.20113018990358825,-0.29026638966138074,0,1,0,0,0,0,0,1
8,1,-0.5198737109710628,-0.2031120902183404,0.3539539054940707,-0.2031120938607021,0.3539539054572752,1,0.21842676209641174,-0.2184267620964117,-0.5385623782742104,0,0,1,0,1,0,0,0
9,1,-0.5197556344208287,0.9219211098454809,0.9149864847303321,0.9219211133632471,0.9149864883099064,1,-0.2948708309035883,0.29487083090358834,-1.0207603851455027,0,0,0,1,0,1,0,0
10,1,-0.5197194357703919,0.35940450981357003,0.9149864847303321,0.35940450975127225,0.9149864883099064,1,0.03846250309641175,-0.038462503096411686,-1.0207603851455027,0,1,0,0,0,0,0,1
11,1,-0.5193292229374101,2.0469543194720843,-0.7681112625160047,2.0469543205871963,-0.7681112602479866,1,0.015765101096411716,-0.01576510109641166,-0.4953804672111096,0,1,0,0,0,1,0,0
12,1,-0.5192555328275925,-0.2031120902183404,-0.7681112625160047,-0.2031120938607021,-0.7681112602479866,1,0.3788224260964117,-0.3788224260964117,-0.4953804672111096,0,1,0,0,0,0,0,1
